GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WAVEMOTORS,app,AppApplication,5,3,0,0,2,1,1,1,1,1
WAVEMOTORS,app.service,AnuncioVeiculoService,149,3,2,0,48,1,7,1,6,1
WAVEMOTORS,app.service,PropostaService,58,3,2,0,16,1,8,1,7,1
WAVEMOTORS,app.service,AcessorioService,73,3,0,0,15,1,5,1,5,1
WAVEMOTORS,app.service,VendedoresService,55,3,0,0,13,1,7,1,7,1
WAVEMOTORS,app.service,LogService,38,3,0,0,11,1,2,1,2,1
WAVEMOTORS,app.service,ClienteService,62,3,0,0,16,1,8,1,8,1
WAVEMOTORS,app.service,VeiculosMarcaService,73,3,0,0,16,1,6,1,6,1
WAVEMOTORS,app.controller,ClienteController,150,3,0,0,33,1,8,1,8,1
WAVEMOTORS,app.controller,AcessoriosController,100,3,0,0,21,1,5,1,5,1
WAVEMOTORS,app.controller,VendedoresController,132,3,0,0,28,1,7,1,7,1
WAVEMOTORS,app.controller,PropostaController,110,3,0,0,24,1,6,1,6,1
WAVEMOTORS,app.controller,VeiculosMarcaController,114,3,0,0,24,1,6,1,6,1
WAVEMOTORS,app.controller,LogController,17,3,0,0,4,1,1,1,1,1
WAVEMOTORS,app.controller,AnuncioVeiculoController,122,3,0,0,26,1,6,1,6,1
WAVEMOTORS,app.auth,Login,17,0,0,0,7,0,5,0,5,0
WAVEMOTORS,app.auth,User,27,0,0,0,1,0,5,0,5,0
WAVEMOTORS,app.auth,LoginController,28,3,0,0,7,1,1,1,1,1
WAVEMOTORS,app.auth,LoginService,58,3,0,0,13,1,1,1,1,1
WAVEMOTORS,app.auth,Usuario,50,3,0,0,19,1,13,1,13,1
WAVEMOTORS,app.entity,Acessorio,23,3,0,0,7,1,5,1,5,1
WAVEMOTORS,app.entity,AnuncioVeiculo,133,3,0,0,40,1,27,1,27,1
WAVEMOTORS,app.entity,Cliente,123,3,0,0,37,1,25,1,25,1
WAVEMOTORS,app.entity,Vendedores,149,3,0,0,43,1,30,1,30,1
WAVEMOTORS,app.entity,VeiculosMarca,33,3,0,0,10,1,7,1,7,1
WAVEMOTORS,app.entity,Proposta,63,3,0,0,19,1,13,1,13,1
WAVEMOTORS,app.entity,Log,63,3,0,0,19,1,13,1,13,1
WAVEMOTORS,app.config,SecurityManager,13,27,0,0,1,8,2,5,2,5
WAVEMOTORS,app.config,JwtServiceGenerator,145,3,4,0,32,1,13,1,11,1
WAVEMOTORS,app.config,JwtConfig,6,0,0,0,2,0,2,0,2,0
WAVEMOTORS,app.config,SecurityConfig,0,183,0,0,0,27,0,7,0,7
WAVEMOTORS,app.config,JwtAuthenticationFilter,63,3,10,0,16,1,6,1,1,1
WAVEMOTORS,app.config,JwtConverter,43,3,2,0,9,1,3,1,2,1
